Species,Sp_ID,Pitfalls_highest_cutoff_met,Above_seed_removal,Experiment,Specimen_ID,Num_Individuals,HW_avg,HL_avg,OW_avg,ML_avg,SL_avg,EW_avg,EL_avg,HF_avg,WL_avg,EP_avg,HW_SD,HL_SD,OW_SD,ML_SD,SL_SD,EW_SD,EL_SD,HF_SD,WL_SD,EP_SD
Aphaenogaster araenoides,AphAra,20%,yes,both,pooled,2,1.174166667,1.300833333,0.74,0.855,2.680833333,0.280833333,0.345833333,3.385833333,2.664166667,0.434166667,0.022391715,0.034176828,0.00942809,0,0.015320647,0.015320647,0.010606602,0.001178511,0.062461099,0.012963624
Cyphomyrmex rimosus,CypRim,,yes,removal,pooled,2,0.605,0.64,0.436666667,0.251666667,0.526666667,0.116666667,0.130833333,0.73,0.861666667,0.168333333,0.007071068,0.021213203,0.011785113,0.007071068,0.042426407,0.002357023,0.022391715,0.002357023,0.016499158,0.004714045
Ectatomma ruidum,EctRui,20%,yes,both,pooled,2,1.695,1.7,1.201666667,1.269166667,1.7025,0.384166667,0.471666667,2.385,2.78,0.493333333,0.032998316,0.075424723,0.004714045,0.01767767,0.008249579,0.005892557,0.025927249,0.176776695,0.00942809,0.028284271
Labidus praedator,LabPra,20%,,pitfall,pooled,2,1.053333333,1.164166667,0.900833333,0.820833333,0.999166667,0.050833333,0.05,1.77,1.645833333,0.1525,0.459619408,0.449012806,0.352374879,0.41601449,0.385373196,0.008249579,0.004714045,0.803744708,0.628146524,0.107244528
Leptogenys punctaticeps,LepPun,15%,,pitfall,pooled,2,1.2225,1.445,0.738333333,0.926666667,1.795833333,0.299166667,0.406666667,2.148333333,2.6475,0.484166667,0.003535534,0,0.002357023,0.028284271,0.194454365,0.003535534,0.016499158,0.049497475,0.022391715,0.001178511
Odontomachus bauri,OdoBau,15%,,pitfall,pooled,2,2.3275,2.961666667,1.668333333,1.736666667,2.908333333,0.378333333,0.506666667,3.0725,3.6575,0.659166667,0.128457732,0.049497475,0.094280904,0.139064334,0.058925565,0.084852814,0.080138769,0.173241161,0.109601551,0.034176828
Pachycondyla harpax,PacHar,20%,,pitfall,pooled,2,1.675,1.75,1.38,1.174166667,1.428333333,0.2425,0.291666667,1.675,2.526666667,0.295,0.035355339,0.011785113,0.028284271,0.03653385,0.007071068,0.020034692,0.00942809,0.028284271,0.021213203,0.007071068
Pheidole sp. 025 (longiscapa or vafra),Phe025,5%,yes,removal,pooled,2,0.568333333,0.571666667,0.390833333,0.338333333,0.858333333,0.131666667,0.1575,0.869166667,0.855,0.1775,0.025927249,0.035355339,0.01767767,0.002357023,0.028284271,0.002357023,0.001178511,0.024748737,0.00942809,0.008249579
Pheidole pugnax (sp. 012),PhePug,20%,,pitfall,pooled,2,0.6675,0.629166667,0.521666667,0.360833333,0.76,0.115,0.154166667,0.8125,0.803333333,0.145833333,0.010606602,0.012963624,0.014142136,0.012963624,0.025927249,0.004714045,0.005892557,0.010606602,0.002357023,0.003535534
Pheidole multispina,PheMul,20%,yes,both,pooled,2,0.438333333,0.421666667,0.368333333,0.24075,0.34,0.055833333,0.098333333,0.349166667,0.4475,0.07,0.016499158,0.011785113,0.016499158,0.00836743,0.00942809,0.001178511,0.002357023,0.008249579,0.010606602,7.98E-17
