"ID","AphAra","CamJTL004","CarBre","CypDix","CypMin","CypRim","DolBis","EctRui","GnaCon","GnaReg","HylDen","HypOpa","LabPra","LepJTL002","LepPun","MycIst","MycTar","Myr001","Myr002","NeiHum","NeoVer","NylGua","OdoBau","OdoMei","PacHar","PacImp","ParBug","ParCor","Phe011423","Phe015","Phe0216","Phe025","Phe091927","PheCfAvi","PheCfNit","PheCol","PheDas","PheGlo","PheMid","PheMul","PhePug","PheRug","PheSen","PheSim","PheSus","SerAma","SolCfBic","SolCfBre","SolCfCas","SolCfPol","SolCfVin","SolCfZet","SolSp007","StrMar","WasAur","WasRoc","Sample_num","Plot_abbre","Season","Species","Experiment","Plot_season"
"25_dry",0,0,0,0.0625,0,0,0,0.5,0,0,0,0,0.125,0,0,0,0.0625,0.0625,0,0,0.125,0.0625,0.0625,0,0.125,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0.125,0,0,0.0625,0.0625,0.0625,0,0.0625,0,0,0.0625,16,"25","dry","P","pitfall_dry","25_dry"
"A_dry",0,0,0,0.0625,0,0,0,0.75,0.0625,0.0625,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0.6875,0.0625,0,0,0,0.0625,0.4375,0,0,0,0,0,0,0.0625,0,0.375,0,0.0625,0.0625,0.0625,0,0.125,0,0.125,0.1875,0,0.0625,0,0,0,0.0625,0,16,"A","dry","P","pitfall_dry","A_dry"
"D_dry",0.375,0.0625,0.0625,0,0,0,0.0625,0,0,0,0.0625,0,0,0.0625,0,0,0,0,0,0,0,0,0.3125,0.0625,0.1875,0,0.0625,0,0,0,0,0,0,0.0625,0,0.0625,0,0,0.0625,0.0625,0.5,0,0,0,0,0.1875,0,0,0.0625,0,0,0,0,0,0.375,0,16,"D","dry","P","pitfall_dry","D_dry"
"Z_dry",0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.3125,0,0,0,0,0,0,0,0.25,0,0.4375,0,0,0.125,0,0,0,0,0,0,0.0625,0,0,0,0,0.3125,0,0,0,0.125,0,0.375,0.0625,0,0,0.0625,0.125,0.0625,0,0.0625,0,0,16,"Z","dry","P","pitfall_dry","Z_dry"
"Z_wet",0,0,0.0625,0,0.0625,0,0,0.875,0,0,0,0.0625,0,0,0.0625,0,0,0,0,0.0625,0,0,0,0,0.0625,0,0,0,0.0625,0,0.0625,0,0.0625,0,0,0,0.0625,0.0625,0,0.375,0,0.125,0,0.25,0,0.125,0,0.0625,0,0.0625,0.3125,0,0,0.0625,0.0625,0,16,"Z","wet","P","pitfall_wet","Z_wet"
"Gua_25dry",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"2","dry","Gua","removal","25dry"
"Gua_Adry",0,0,0,0,0,0.2,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"A","dry","Gua","removal","Adry"
"Gua_Zdry",0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Z","dry","Gua","removal","Zdry"
"Gua_Zwet",0,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.285714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0,7,"Z","wet","Gua","removal","Zwet"
"Och_Adry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,6,"A","dry","Och","removal","Adry"
"Och_Zdry",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,4,"Z","dry","Och","removal","Zdry"
"Och_Zwet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.5,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Z","wet","Och","removal","Zwet"
"Zan_25dry",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"2","dry","Zan","removal","25dry"
"Zan_Adry",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,6,"A","dry","Zan","removal","Adry"
"Zan_Ddry",0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"D","dry","Zan","removal","Ddry"
"Zan_Zdry",0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Z","dry","Zan","removal","Zdry"
