Species,Dispersion,Season,Plot,Replicate,Total.Seeds.Remaining,Total.Seeds.Removed,Position,Start.Date,Dormancy
ApMe,Animal,Dry,AVA,1,2,8,4,27.3.2013,physical
ApMe,Animal,Dry,AVA,2,0,10,5,11.4.2013,physical
CeLo,Animal,Dry,AVA,1,8,2,6,27.3.2013,quiescent
CeLo,Animal,Dry,AVA,2,0,10,4,11.4.2013,quiescent
CoVi,Wind,Dry,AVA,1,10,0,2,27.3.2013,physical
CoVi,Wind,Dry,AVA,2,8,2,6,11.4.2013,physical
FiIn,Animal,Dry,AVA,1,10,0,12,27.3.2013,quiescent
FiIn,Animal,Dry,AVA,2,3,7,2,11.4.2013,quiescent
GuUl,Animal,Dry,AVA,1,1,9,9,27.3.2013,physical
GuUl,Animal,Dry,AVA,2,0,10,7,11.4.2013,physical
HiAl,Animal,Dry,AVA,1,10,0,10,27.3.2013,physiological
HiAl,Animal,Dry,AVA,2,4,6,9,11.4.2013,physiological
JaCo,Wind,Dry,AVA,1,10,0,3,27.3.2013,quiescent
JaCo,Wind,Dry,AVA,2,6,4,12,11.4.2013,quiescent
LuSe,Wind,Dry,AVA,1,10,0,8,27.3.2013,physical
LuSe,Wind,Dry,AVA,2,10,0,3,11.4.2013,physical
OcPy,Wind,Dry,AVA,1,0,10,1,27.3.2013,physical
OcPy,Wind,Dry,AVA,2,0,10,8,11.4.2013,physical
TrBl,Animal,Dry,AVA,1,10,0,11,27.3.2013,physiological
TrBl,Animal,Dry,AVA,2,5,5,10,11.4.2013,physiological
TrBr,Animal,Dry,AVA,1,8,2,5,27.3.2013,quiescent
TrBr,Animal,Dry,AVA,2,9,0,1,11.4.2013,quiescent
ZaEk,Animal,Dry,AVA,1,0,10,7,27.3.2013,physiological
ZaEk,Animal,Dry,AVA,2,0,10,11,11.4.2013,physiological
ApMe,Animal,Dry,Pearson,1,6,4,12,29.3.2013,physical
ApMe,Animal,Dry,Pearson,2,1,9,5,15.4.2013,physical
CeLo,Animal,Dry,Pearson,1,10,0,1,29.3.2013,quiescent
CeLo,Animal,Dry,Pearson,2,0,10,2,15.4.2013,quiescent
CoVi,Wind,Dry,Pearson,1,10,0,6,29.3.2013,physical
CoVi,Wind,Dry,Pearson,2,9,1,3,15.4.2013,physical
FiIn,Animal,Dry,Pearson,1,0,10,8,29.3.2013,quiescent
FiIn,Animal,Dry,Pearson,2,7,3,8,15.4.2013,quiescent
GuUl,Animal,Dry,Pearson,1,10,0,4,29.3.2013,physical
GuUl,Animal,Dry,Pearson,2,8,2,6,15.4.2013,physical
HiAl,Animal,Dry,Pearson,1,9,1,5,29.3.2013,physiological
HiAl,Animal,Dry,Pearson,2,5,5,10,15.4.2013,physiological
JaCo,Wind,Dry,Pearson,1,10,0,7,29.3.2013,quiescent
JaCo,Wind,Dry,Pearson,2,3,7,9,15.4.2013,quiescent
LuSe,Wind,Dry,Pearson,1,10,0,9,29.3.2013,physical
LuSe,Wind,Dry,Pearson,2,7,3,1,15.4.2013,physical
OcPy,Wind,Dry,Pearson,1,0,10,11,29.3.2013,physical
OcPy,Wind,Dry,Pearson,2,8,2,7,15.4.2013,physical
TrBl,Animal,Dry,Pearson,1,0,10,10,29.3.2013,physiological
TrBl,Animal,Dry,Pearson,2,9,1,4,15.4.2013,physiological
TrBr,Animal,Dry,Pearson,1,10,0,2,29.3.2013,quiescent
TrBr,Animal,Dry,Pearson,2,10,0,12,15.4.2013,quiescent
ZaEk,Animal,Dry,Pearson,1,0,10,3,29.3.2013,physiological
ZaEk,Animal,Dry,Pearson,2,0,10,11,15.4.2013,physiological
ApMe,Animal,Dry,25Ha,1,8,2,10,3.4.2013,physical
ApMe,Animal,Dry,25Ha,2,6,4,4,15.4.2013,physical
CeLo,Animal,Dry,25Ha,1,10,0,2,3.4.2013,quiescent
CeLo,Animal,Dry,25Ha,2,9,1,8,15.4.2013,quiescent
CoVi,Wind,Dry,25Ha,1,10,0,9,3.4.2013,physical
CoVi,Wind,Dry,25Ha,2,6,4,7,15.4.2013,physical
FiIn,Animal,Dry,25Ha,1,10,0,7,3.4.2013,quiescent
FiIn,Animal,Dry,25Ha,2,10,0,10,15.4.2013,quiescent
GuUl,Animal,Dry,25Ha,1,0,10,3,3.4.2013,physical
GuUl,Animal,Dry,25Ha,2,0,10,3,15.4.2013,physical
HiAl,Animal,Dry,25Ha,1,10,0,11,3.4.2013,physiological
HiAl,Animal,Dry,25Ha,2,9,1,6,15.4.2013,physiological
JaCo,Wind,Dry,25Ha,1,9,1,1,3.4.2013,quiescent
JaCo,Wind,Dry,25Ha,2,6,4,2,15.4.2013,quiescent
LuSe,Wind,Dry,25Ha,1,10,0,8,3.4.2013,physical
LuSe,Wind,Dry,25Ha,2,10,0,9,15.4.2013,physical
OcPy,Wind,Dry,25Ha,1,4,6,5,3.4.2013,physical
OcPy,Wind,Dry,25Ha,2,0,10,11,15.4.2013,physical
TrBl,Animal,Dry,25Ha,1,10,0,12,3.4.2013,physiological
TrBl,Animal,Dry,25Ha,2,4,6,5,15.4.2013,physiological
TrBr,Animal,Dry,25Ha,1,10,0,6,3.4.2013,quiescent
TrBr,Animal,Dry,25Ha,2,2,8,12,15.4.2013,quiescent
ZaEk,Animal,Dry,25Ha,1,0,10,4,3.4.2013,physiological
ZaEk,Animal,Dry,25Ha,2,0,10,1,15.4.2013,physiological
ApMe,Animal,Dry,Drayton,1,0,10,2,5.4.2013,physical
ApMe,Animal,Dry,Drayton,2,3,7,7,18.4.2013,physical
CeLo,Animal,Dry,Drayton,1,7,3,10,5.4.2013,quiescent
CeLo,Animal,Dry,Drayton,2,9,0,3,18.4.2013,quiescent
CoVi,Wind,Dry,Drayton,1,7,3,9,5.4.2013,physical
CoVi,Wind,Dry,Drayton,2,10,0,6,18.4.2013,physical
FiIn,Animal,Dry,Drayton,1,9,1,7,5.4.2013,quiescent
FiIn,Animal,Dry,Drayton,2,1,9,2,18.4.2013,quiescent
GuUl,Animal,Dry,Drayton,1,6,4,3,5.4.2013,physical
GuUl,Animal,Dry,Drayton,2,3,7,12,18.4.2013,physical
HiAl,Animal,Dry,Drayton,1,10,0,1,5.4.2013,physiological
HiAl,Animal,Dry,Drayton,2,9,1,8,18.4.2013,physiological
JaCo,Wind,Dry,Drayton,1,10,0,12,5.4.2013,quiescent
JaCo,Wind,Dry,Drayton,2,10,0,9,18.4.2013,quiescent
