Species,Season,Dispersion,Num.weeks,Plot,Direction,Replicate,Total.Recovered,Total.Removed,Partial.Recovered,Vials.Present,Dormancy
ApMe,Wet,Animal,4,AVA,W,1,7,3,2,yes,physical
ApMe,Wet,Animal,4,AVA,E,2,1,9,4,yes,physical
ApMe,Wet,Animal,4,Pearson,N,1,1,9,1,yes,physical
ApMe,Wet,Animal,4,Pearson,S,2,1,9,3,yes,physical
ApMe,Wet,Animal,4,Drayton,E,1,3,7,4,yes,physical
ApMe,Wet,Animal,4,Drayton,W,2,2,8,2,yes,physical
ApMe,Wet,Animal,4,25Ha,N,1,2,8,0,yes,physical
ApMe,Wet,Animal,4,25Ha,S,2,2,8,1,yes,physical
ApMe,Wet,Animal,4,Zetek,E,1,3,7,5,yes,physical
ApMe,Wet,Animal,4,Zetek,W,2,0,10,0,yes,physical
CeLo,Wet,Animal,4,AVA,W,1,9,1,0,yes,quiescent
CeLo,Wet,Animal,4,AVA,E,2,0,10,0,yes,quiescent
CeLo,Wet,Animal,4,Pearson,N,1,4,6,0,yes,quiescent
CeLo,Wet,Animal,4,Pearson,S,2,4,6,0,yes,quiescent
CeLo,Wet,Animal,4,Drayton,E,1,7,3,0,yes,quiescent
CeLo,Wet,Animal,4,Drayton,W,2,2,8,0,yes,quiescent
CeLo,Wet,Animal,4,25Ha,N,1,3,7,0,yes,quiescent
CeLo,Wet,Animal,4,25Ha,S,2,1,9,0,yes,quiescent
CeLo,Wet,Animal,4,Zetek,E,1,3,7,0,yes,quiescent
CeLo,Wet,Animal,4,Zetek,W,2,4,6,0,yes,quiescent
Glass,Wet,Control,4,AVA,W,1,9,1,0,yes,control
Glass,Wet,Control,4,AVA,E,2,10,0,0,yes,control
Glass,Wet,Control,4,Pearson,N,1,2,8,0,yes,control
Glass,Wet,Control,4,Pearson,S,2,10,0,0,yes,control
Glass,Wet,Control,4,Drayton,E,1,7,3,0,yes,control
Glass,Wet,Control,4,Drayton,W,2,10,0,0,yes,control
Glass,Wet,Control,4,25Ha,N,1,10,0,0,yes,control
Glass,Wet,Control,4,25Ha,S,2,9,1,0,yes,control
Glass,Wet,Control,4,Zetek,E,1,9,1,0,yes,control
Glass,Wet,Control,4,Zetek,W,2,8,2,0,yes,control
JaCo,Wet,Wind,4,AVA,W,1,9,1,0,yes,quiescent
JaCo,Wet,Wind,4,AVA,E,2,7,3,0,yes,quiescent
JaCo,Wet,Wind,4,Pearson,N,1,10,0,0,yes,quiescent
JaCo,Wet,Wind,4,Pearson,S,2,8,2,1,yes,quiescent
JaCo,Wet,Wind,4,Drayton,E,1,0,10,0,yes,quiescent
JaCo,Wet,Wind,4,Drayton,W,2,9,1,0,yes,quiescent
JaCo,Wet,Wind,4,25Ha,N,1,8,2,1,yes,quiescent
JaCo,Wet,Wind,4,25Ha,S,2,6,4,0,yes,quiescent
JaCo,Wet,Wind,4,Zetek,E,1,8,2,0,yes,quiescent
JaCo,Wet,Wind,4,Zetek,W,2,8,2,0,yes,quiescent
OcPy,Wet,Wind,4,AVA,W,1,1,9,0,yes,physical
OcPy,Wet,Wind,4,AVA,E,2,4,6,0,yes,physical
OcPy,Wet,Wind,4,Pearson,N,1,0,10,0,yes,physical
OcPy,Wet,Wind,4,Pearson,S,2,7,3,0,yes,physical
OcPy,Wet,Wind,4,Drayton,E,1,8,2,0,yes,physical
OcPy,Wet,Wind,4,Drayton,W,2,1,9,0,yes,physical
OcPy,Wet,Wind,4,25Ha,N,1,0,10,0,yes,physical
OcPy,Wet,Wind,4,25Ha,S,2,2,8,0,yes,physical
OcPy,Wet,Wind,4,Zetek,E,1,3,7,0,yes,physical
OcPy,Wet,Wind,4,Zetek,W,2,9,1,0,yes,physical
TrBl,Wet,Animal,4,AVA,W,1,1,10,0,yes,physiological
TrBl,Wet,Animal,4,AVA,E,2,3,7,0,yes,physiological
TrBl,Wet,Animal,4,Pearson,N,1,0,10,0,yes,physiological
TrBl,Wet,Animal,4,Pearson,S,2,0,10,0,yes,physiological
TrBl,Wet,Animal,4,Drayton,E,1,6,4,0,yes,physiological
TrBl,Wet,Animal,4,Drayton,W,2,0,10,0,yes,physiological
TrBl,Wet,Animal,4,25Ha,N,1,0,10,0,yes,physiological
TrBl,Wet,Animal,4,25Ha,S,2,2,8,0,yes,physiological
TrBl,Wet,Animal,4,Zetek,E,1,8,2,0,yes,physiological
TrBl,Wet,Animal,4,Zetek,W,2,0,10,0,yes,physiological
ZaEk,Wet,Animal,4,AVA,W,1,1,9,0,yes,physiological
ZaEk,Wet,Animal,4,AVA,E,2,9,1,0,yes,physiological
ZaEk,Wet,Animal,4,Pearson,N,1,10,0,0,yes,physiological
ZaEk,Wet,Animal,4,Pearson,S,2,7,3,0,yes,physiological
ZaEk,Wet,Animal,4,Drayton,E,1,5,5,0,yes,physiological
ZaEk,Wet,Animal,4,Drayton,W,2,6,4,0,yes,physiological
ZaEk,Wet,Animal,4,25Ha,N,1,1,9,0,yes,physiological
ZaEk,Wet,Animal,4,25Ha,S,2,9,1,0,yes,physiological
ZaEk,Wet,Animal,4,Zetek,E,1,11,0,0,yes,physiological
ZaEk,Wet,Animal,4,Zetek,W,2,1,9,0,yes,physiological
