"ID","AphAra","AztXan001","CarBre","CarUri","CypMin","EctRui","GnaCon","GnaReg","HypOpa","LabCoe","LepPun","MayCon","MegSp001","MycTar","NeiHum","NeiIri","NeiMac","NeoVer","Nyl001","OdoBau","OdoMei","PacHar","Phe011423","Phe015","Phe0216","Phe025","Phe031","Phe091927","PheCfAvi","PheCol","PheDas","PheGlo","PheMul","PhePug","PheRug","PheSen","PheSim","RogFor","SerAma","SolCfBic","SolCfBre","SolCfCas","SolCfPol","SolCfVin","SolSp008","StrMar","TranGil","WasAur","Sample_num","Plot_abbre","Season","Species","Experiment"
"25_wet",0,0,0.0625,0,0,0.625,0.0625,0,0.0625,0,0,0,0,0.125,0,0,0,0,0,0,0,0.0625,0,0,0,0,0.0625,0.0625,0.125,0.125,0,0,0,0.0625,0.1875,0,0,0,0.0625,0,0,0,0,0.125,0,0,0,0.0625,16,"25","wet","P","pitfall_wet"
"A_wet",0,0,0,0,0.0625,1,0.125,0.125,0,0.0625,0.3125,0,0.0625,0,0,0,0,0,0,0,0,0.625,0,0.0625,0.625,0,0,0,0,0,0,0,0.4375,0,0.0625,0,0.1875,0,0,0,0.0625,0.125,0.125,0.0625,0,0,0,0.0625,16,"A","wet","P","pitfall_wet"
"D_wet",0.0625,0,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0,0,0,0,0.0625,0,0.0625,0.0625,0.125,0,0,0,0.1875,0,0.0625,0,0.5,0,0,0,0.375,0.0625,0.125,0,0,0.125,0,0,0,0,0.125,0,0,0,0.125,16,"D","wet","P","pitfall_wet"
"P_wet",0.125,0.0625,0,0,0,0.9375,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0.0625,0.0625,0.125,0,0.125,0.25,0.0625,0,0,0.1875,16,"P","wet","P","pitfall_wet"
"Z_wet",0,0,0.0625,0,0.0625,0.875,0,0,0.0625,0,0.0625,0,0,0,0.0625,0,0,0,0,0,0,0.0625,0.0625,0,0.0625,0,0,0.0625,0,0,0.0625,0.0625,0.375,0,0.125,0,0.25,0,0.125,0,0.0625,0,0.0625,0.3125,0,0.0625,0,0.0625,16,"Z","wet","P","pitfall_wet"
"25_Cec",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,"25","wet","Cec","below"
"25_G",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,4,"25","wet","G","below"
"25_Jac",0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,4,"25","wet","Jac","below"
"25_Och",0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,4,"25","wet","Och","below"
"25_P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.25,0,0,0,0,4,"25","wet","P","below"
